state.lastseen,missing.date,tattoo,scar,color.eyes,color.hair,weight.from,weight.to,height.from,height.to,gender,race,age.from,age.to,id
Nevada,1994-08-29,TRUE,TRUE,brown,"brown,red",44.443,45.35,152.4,154.94,female,hispanic,32,32,395D
Ohio,2006-04-01,TRUE,FALSE,hazel,brown,72.56,74.8275,187.96,187.96,male,white,27,27,396D
California,1986-04-01,FALSE,FALSE,blue,brown,72.56,72.56,182.88,182.88,male,white,29,29,397D
Maine,1983-04-14,FALSE,TRUE,blue,brown,68.025,77.095,154.94,185.42,male,white,23,23,398D
Texas,1999-12-26,FALSE,FALSE,brown,black,58.955,58.955,165.1,165.1,female,black,35,35,399D
Minnesota,1993-05-07,FALSE,FALSE,green,brown,40.815,68.025,162.56,172.72,female,white,40,40,400D
Louisiana,1983-12-28,FALSE,TRUE,brown,black,68.025,68.025,187.96,187.96,male,black,28,28,401D
California,1988-08-04,FALSE,FALSE,brown,brown,63.49,63.49,152.4,152.4,male,white,13,13,402D
California,2004-05-04,TRUE,TRUE,blue,blond,102.03750000000001,113.375,182.88,182.88,male,white,44,44,403D
New Mexico,1980-12-01,FALSE,FALSE,brown,brown,43.0825,56.6875,152.4,152.4,female,hispanic,25,25,404D
California,1991-07-20,FALSE,FALSE,brown,gray,77.095,77.095,187.96,187.96,male,hispanic,69,69,405D
Texas,2015-05-04,FALSE,TRUE,brown,brown,95.235,95.235,187.96,187.96,male,white,26,26,406D
Maryland,1984-07-29,FALSE,TRUE,blue,gray,61.222500000000004,61.222500000000004,157.48000000000002,157.48000000000002,male,white,65,65,407D
Missouri,1965-06-13,FALSE,TRUE,blue,brown,9.977,9.977,76.2,76.2,female,white,2,2,408D
Maryland,2000-01-02,FALSE,TRUE,blue,gray,68.4785,68.4785,175.26,175.26,male,white,86,86,409D
Wisconsin,1996-12-19,FALSE,TRUE,blue,blonde,54.42,72.56,152.4,167.64000000000001,female,white,60,60,410D
Kentucky,1993-10-27,TRUE,TRUE,green,blond,44.443,44.443,154.94,154.94,female,white,28,28,411D
Maryland,1984-03-04,FALSE,FALSE,blue,brown,58.955,58.955,167.64000000000001,167.64000000000001,female,white,20,20,412D
New Mexico,2004-12-24,FALSE,FALSE,brown,gray,72.56,77.095,162.56,162.56,female,white,57,57,413D
California,1988-08-04,FALSE,FALSE,brown,black,63.49,63.49,167.64000000000001,167.64000000000001,male,white,35,35,414D
California,1984-03-22,FALSE,FALSE,hazel,brown,47.6175,54.42,157.48000000000002,157.48000000000002,female,black,21,21,415D
Pennsylvania,1973-10-26,FALSE,FALSE,hazel,black,44.443,44.443,152.4,152.4,female,white,17,17,416D
Alabama,1973-09-17,FALSE,FALSE,blue,blonde,13.605,13.605,96.52,96.52,female,white,3,3,417D
Arkansas,1995-05-10,FALSE,TRUE,blue,brown,68.025,68.025,175.26,175.26,male,white,30,30,418D
Florida,1997-11-28,FALSE,FALSE,brown,"black,gray",68.025,68.025,154.94,154.94,male,black,67,67,419D
New York,2005-08-09,TRUE,TRUE,brown,brown,49.885000000000005,49.885000000000005,172.72,172.72,female,white,33,33,420D
Connecticut,1969-12-05,FALSE,FALSE,blue,red,68.025,68.025,162.56,162.56,female,white,35,35,421D
California,2011-07-10,FALSE,FALSE,black,black,20.4075,20.4075,106.67999999999999,106.67999999999999,male,hispanic,5,5,422D
Florida,1993-03-24,FALSE,TRUE,brown,brown,65.75750000000001,65.75750000000001,167.64000000000001,167.64000000000001,male,biracial,34,34,423D
Texas,1985-06-17,FALSE,TRUE,brown,gray,88.4325,92.9675,154.94,187.96,male,white,51,51,424D
California,1987-12-10,FALSE,FALSE,brown,black,63.49,63.49,154.94,154.94,black,male,54,54,425D
Alaska,1978-09-05,FALSE,FALSE,blue,brown,33.559,33.559,124.46000000000001,124.46000000000001,male,white,13,13,426D
Hawaii,1999-11-26,TRUE,FALSE,brown,brown,63.49,63.49,154.94,154.94,male,white,20,20,427D
Ohio,1993-03-15,FALSE,FALSE,blue,brown,63.49,68.025,172.72,154.94,male,white,20,20,428D
Alaska,1999-06-14,FALSE,TRUE,hazel,brown,129.2475,129.2475,154.94,154.94,male,white,38,38,429D
Maryland,1984-03-03,FALSE,TRUE,brown,brown,63.49,63.49,165.1,165.1,female,white,13,13,430D
Arizona,1993-07-13,FALSE,TRUE,brown,black,81.63,86.165,175.26,175.26,male,other,25,25,431D
Texas,1998-11-01,FALSE,FALSE,brown,brown,23.582,23.582,109.22,109.22,female,white,3,3,432D
Texas,2007-03-01,TRUE,TRUE,brown,brown,77.095,77.095,170.18,170.18,female,white,35,35,433D
Ohio,1964-10-15,FALSE,FALSE,blue,brown,29.4775,29.4775,106.67999999999999,106.67999999999999,male,white,9,9,434D
California,1987-04-27,FALSE,FALSE,blue,blonde,58.048,72.56,167.64000000000001,170.18,female,white,31,31,435D
North Carolina,1964-09-12,FALSE,TRUE,blue,red,40.3615,40.3615,139.7,139.7,male,white,11,11,436D
North Dakota,1999-11-12,FALSE,FALSE,blue,gray,79.3625,79.3625,167.64000000000001,167.64000000000001,male,white,82,82,437D
